Latitude,Longitude_km,Area_km2
-90.0,6.8163840840541674e-15,7.587998762369099e-13
-89.81981981981981,0.3500715893652165,38.969969328135896
-89.63963963963964,0.7001397167446648,77.93955326801608
-89.45945945945945,1.0502009201868523,116.90836643520039
-89.27927927927928,1.4002517378086534,155.8760234528593
-89.09909909909909,1.7502887078298255,194.84213895561615
-88.91891891891892,2.1003083686068718,233.80632759331695
-88.73873873873873,2.45030725866767,272.768204034885
-88.55855855855856,2.8002819167453104,311.7273829720879
-88.37837837837837,3.1502288818127195,350.6834791233919
-88.1981981981982,3.500144693116517,389.6361072377307
-88.01801801801801,3.850025890211513,428.5848820983456
-87.83783783783784,4.199869012994804,467.52941852658154
-87.65765765765765,4.5496706017400195,506.4693313856989
-87.47747747747748,4.89942719713153,545.4042355846818
-87.29729729729729,5.249135340298693,584.3337460820504
-87.11711711711712,5.598791572849923,623.2574778896534
-86.93693693693693,5.948392436907175,662.1750460765066
-86.75675675675676,6.29793447513976,701.0860657725581
-86.57657657657657,6.647414230798943,739.9901521725383
-86.3963963963964,6.996828247751723,778.8869205397217
-86.21621621621621,7.346173070515408,817.7759862097752
-86.03603603603604,7.6954452442914025,856.6569645945189
-85.85585585585585,8.044641314999755,895.5294711857726
-85.67567567567568,8.393757829312953,934.393121559118
-85.49549549549549,8.742791334690347,973.2475313777294
-85.31531531531532,9.091738379412169,1012.0923163961626
-85.13513513513513,9.440595512613687,1050.9270924641555
-84.95495495495496,9.789359284319339,1089.7514755304287
-84.77477477477477,10.13802624547688,1128.565081646486
-84.5945945945946,10.486592947991351,1167.3675269703972
-84.41441441441441,10.835055944759468,1206.1584277706238
-84.23423423423424,11.183411789703328,1244.9374004297745
-84.05405405405405,11.531657037804896,1283.704061448441
-83.87387387387388,11.879788245139663,1322.4580274489472
-83.69369369369369,12.227801968911113,1361.198915179185
-83.51351351351352,12.575694767484398,1399.9263415163632
-83.33333333333333,12.923463200420636,1438.6399234708251
-83.15315315315316,13.271103828510823,1477.3392781898247
-82.97297297297297,13.618613213809859,1516.0240229613134
-82.7927927927928,13.965987919670557,1554.6937752177262
-82.61261261261261,14.31322451077762,1593.3481525397644
-82.43243243243244,14.660319553181617,1631.9867726601776
-82.25225225225225,15.007269614332976,1670.6092534675468
-82.07207207207207,15.35407126311579,1709.2152130100496
-81.89189189189189,15.700721069882034,1747.804269499268
-81.71171171171171,16.047215606485107,1786.376041313922
-81.53153153153153,16.393551446314127,1824.9301470036885
-81.35135135135135,16.73972516432742,1863.4662052929284
-81.17117117117117,17.085733337086804,1901.983835084503
-80.990990990991,17.431572542791045,1940.482655463499
-80.8108108108108,17.77723936131001,1978.9622857010302
-80.63063063063063,18.122730374218303,2017.4223452579813
-80.45045045045045,18.46804216482917,2055.862453788783
-80.27027027027027,18.81317131822824,2094.2822311451673
-80.09009009009009,19.158114421307292,2132.681297379928
-79.90990990990991,19.50286806279805,2171.0592727506787
-79.72972972972973,19.8474288333059,2209.415777723613
-79.54954954954955,20.19179332534351,2247.7504329772396
-79.36936936936937,20.53595813336478,2286.0628594061673
-79.1891891891892,20.879919853798178,2324.352678124813
-79.009009009009,21.223675085080757,2362.6195104711896
-78.82882882882883,21.567220427691428,2400.86297801061
-78.64864864864865,21.910552484184972,2439.082702539471
-78.46846846846847,22.25366785922525,2477.2783060889547
-78.28828828828829,22.596563159619073,2515.4494109287953
-78.10810810810811,22.939234994349615,2553.595639570999
-77.92792792792793,23.281679974609997,2591.7166147735848
-77.74774774774775,23.623894713836773,2629.8119595443095
-77.56756756756756,23.965875827743474,2667.8812971444036
-77.38738738738739,24.307619934353923,2705.9242510922786
-77.2072072072072,24.649123654035975,2743.9404451672845
-77.02702702702703,24.990383609534568,2781.929503413388
-76.84684684684684,25.3313964260055,2819.8910501429323
-76.66666666666667,25.672158731048427,2857.8247099403106
-76.48648648648648,26.012667154740587,2895.730107665722
-76.30630630630631,26.35291832966977,2933.6068684588386
-76.12612612612612,26.69290889096797,2971.454617742554
-75.94594594594595,27.03263547634432,3009.27298122665
-75.76576576576576,27.37209472611861,3047.061584911524
-75.58558558558559,27.71128328325437,3084.8200550918764
-75.4054054054054,28.050197793392126,3122.5480183604113
-75.22522522522523,28.38883490488255,3160.245101611525
-75.04504504504504,28.727191268819624,3197.910932045
-74.86486486486487,29.06526353907365,3235.5451371696786
-74.68468468468468,29.403048372324623,3273.147344807177
-74.50450450450451,29.740542428094898,3310.717183095524
-74.32432432432432,30.07774236878263,3348.254280492882
-74.14414414414415,30.414644859694405,3385.758265781181
-73.96396396396396,30.751246569078564,3423.2287680698255
-73.78378378378379,31.087544168157844,3460.665416799331
-73.6036036036036,31.423534331162525,3498.067841745012
-73.42342342342343,31.759213735363222,3535.4356730206337
-73.24324324324324,32.09457906110373,3572.768541082067
-73.06306306306307,32.42962699183391,3610.066076730951
-72.88288288288288,32.76435421414244,3647.3279111183365
-72.70270270270271,33.098757417789614,3684.5536757483396
-72.52252252252252,33.432833295740075,3721.743002481785
-72.34234234234233,33.76657854419545,3758.895523539837
-72.16216216216216,34.09998986262714,3796.010871507653
-71.98198198198199,34.43306395380887,3833.088679338003
-71.8018018018018,34.765797523849415,3870.1285803549167
-71.62162162162161,35.09818728222496,3907.1302082572824
-71.44144144144144,35.43022994181179,3944.093197122488
-71.26126126126127,35.761922218918876,3981.017181410049
-71.08108108108108,36.093260833320166,4017.9017959652006
-70.9009009009009,36.42424250828716,4054.746676022526
-70.72072072072072,36.754863970621145,4091.551457209546
-70.54054054054055,37.08512195068584,4128.315775550347
